TelegramFileName,Type,SeriesName,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,ClipLength,Category
AUD-20230219-WA0015.m4a,Series,الأفنان الندية,١,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,26:36,Fiqh
AUD-20230301-WA0025.m4a,Series,الأفنان الندية,٢,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,29:48,Fiqh
AUD-20230302-WA0068.m4a,Series,الأفنان الندية,٣,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,11:42,Fiqh
AUD-20230303-WA0024.m4a,Series,الأفنان الندية,٤,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,31:31,Fiqh
AUD-20230305-WA0003.m4a,Series,الأفنان الندية,٥,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,36:22,Fiqh
AUD-20230313-WA0016 (1).m4a,Series,الأفنان الندية,٦,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,20:19,Fiqh
AUD-20230314-WA0004.m4a,Series,الأفنان الندية,٧,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,11:03,Fiqh
AUD-20230315-WA0010.m4a,Series,الأفنان الندية,٨,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,25:29,Fiqh
AUD-20230320-WA0002.m4a,Series,الأفنان الندية,٩,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,15:42,Fiqh
AUD-20230320-WA0007.m4a,Series,الأفنان الندية,١٠,زيد بن هادي المدخلي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,25:34,Fiqh
01.mp3,Series,الملخص الفقهي,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,1:02:17,Fiqh
02.mp3,Series,الملخص الفقهي,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,52:45,Fiqh
03.mp3,Series,الملخص الفقهي,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,19:11,Fiqh
04.mp3,Series,الملخص الفقهي,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,14:53,Fiqh
05.mp3,Series,الملخص الفقهي,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,16:10,Fiqh
AUD-20230327-WA0002 (1).m4a,Series,الممتع شرح زاد المستقنع,٠١,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٤ رمضان ١٤٤٤هـ,26/03/2023,34:40,Fiqh
AUD-20230327-WA0004.m4a,Series,الممتع شرح زاد المستقنع,٠٢,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٥ رمضان ١٤٤٤هـ,27/03/2023,33:22,Fiqh
AUD-20230328-WA0008.m4a,Series,الممتع شرح زاد المستقنع,٠٣,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٦ رمضان ١٤٤٤هـ,28/03/2023,42:26,Fiqh
AUD-20230329-WA0000.m4a,Series,الممتع شرح زاد المستقنع,٠٤,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٧ رمضان ١٤٤٤هـ,29/03/2023,25:02,Fiqh
AUD-20230330-WA0007.m4a,Series,الممتع شرح زاد المستقنع,٠٥,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٨ رمضان ١٤٤٤هـ,30/03/2023,30:14,Fiqh
AUD-20230331-WA0005 (1).m4a,Series,الممتع شرح زاد المستقنع,٠٦,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٩ رمضان ١٤٤٤هـ,31/03/2023,30:57,Fiqh
AUD-20230401-WA0005.m4a,Series,الممتع شرح زاد المستقنع,٠٧,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٠ رمضان ١٤٤٤هـ,01/04/2023,33:17,Fiqh
AUD-20230404-WA0001.m4a,Series,الممتع شرح زاد المستقنع,٠٨,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٢ رمضان ١٤٤٤هـ,03/04/2023,17:33,Fiqh
AUD-20230404-WA0002.m4a,Series,الممتع شرح زاد المستقنع,٠٩,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٣ رمضان ١٤٤٤هـ,04/04/2023,12:16,Fiqh
AUD-20230406-WA0039.m4a,Series,الممتع شرح زاد المستقنع,١٠,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٥ رمضان ١٤٤٤هـ,06/04/2023,25:44,Fiqh
AUD-20230407-WA0006.m4a,Series,الممتع شرح زاد المستقنع,١١,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٦ رمضان ١٤٤٤هـ,07/04/2023,28:55,Fiqh
AUD-20230408-WA0028.m4a,Series,الممتع شرح زاد المستقنع,١٢,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٧ رمضان ١٤٤٤هـ,08/04/2023,30:49,Fiqh
AUD-20230409-WA0005.m4a,Series,الممتع شرح زاد المستقنع,١٣,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٨ رمضان ١٤٤٤هـ,09/04/2023,28:02,Fiqh
AUD-20230410-WA0010.m4a,Series,الممتع شرح زاد المستقنع,١٤,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٩ رمضان ١٤٤٤هـ,10/04/2023,25:19,Fiqh
AUD-20230411-WA0039.m4a,Series,الممتع شرح زاد المستقنع,١٥,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٢٠ رمضان ١٤٤٤هـ,11/04/2023,16:52,Fiqh
01.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,١,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,1:29:10,Fiqh
02.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٢,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,40:12,Fiqh
03.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٣,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,53:50,Fiqh
04.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٤,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,1:28:46,Fiqh
05.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٥,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,1:11:48,Fiqh
06.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٦,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,29:36,Fiqh
07.lite.mp3,Series,تأسيس الأحكام شرح عمدة الأحكام,٧,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,1:02:51,Fiqh
AUD-20220414-WA0033.m4a,Series,تأسيس الأحكام شرح عمدة الأحكام,٨,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٣ رمضان ١٤٤٣هـ,14/04/2022,25:05,Fiqh
AUD-20220416-WA0002.m4a,Series,تأسيس الأحكام شرح عمدة الأحكام,٩,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٤ رمضان ١٤٤٣هـ,15/04/2022,23:53,Fiqh
AUD-20220416-WA0008.m4a,Series,تأسيس الأحكام شرح عمدة الأحكام,١٠,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٥ رمضان ١٤٤٣هـ,16/04/2022,38:08,Fiqh
AUD-20220417-WA0003.m4a,Series,تأسيس الأحكام شرح عمدة الأحكام,١١,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٦ رمضان ١٤٤٣هـ,17/04/2022,31:40,Fiqh
AUD-20220418-WA0014.m4a,Series,تأسيس الأحكام شرح عمدة الأحكام,١٢,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٧ رمضان ١٤٤٣هـ,18/04/2022,38:39,Fiqh
AUD-20220402-WA0003.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,١,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١ رمضان ١٤٤٣هـ,02/04/2022,32:22,Fiqh
AUD-20220403-WA0010.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٢,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٢ رمضان ١٤٤٣هـ,03/04/2022,32:43,Fiqh
AUD-20220404-WA0006.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٣,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٣ رمضان ١٤٤٣هـ,04/04/2022,27:47,Fiqh
AUD-20220406-WA0003.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٤,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٤ رمضان ١٤٤٣هـ,05/04/2022,34:37,Fiqh
AUD-20220406-WA0008.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٥,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٥ رمضان ١٤٤٣هـ,06/04/2022,19:23,Fiqh
AUD-20220407-WA0008.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٦,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٦ رمضان ١٤٤٣هـ,07/04/2022,20:00,Fiqh
AUD-20220408-WA0007.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٧,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٧ رمضان ١٤٤٣هـ,08/04/2022,18:07,Fiqh
AUD-20220409-WA0018.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٨,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٨ رمضان ١٤٤٣هـ,09/04/2022,27:59,Fiqh
AUD-20220410-WA0000.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,٩,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,٩ رمضان ١٤٤٣هـ,10/04/2022,12:26,Fiqh
AUD-20220411-WA0011.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,١٠,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٠ رمضان ١٤٤٣هـ,11/04/2022,25:55,Fiqh
AUD-20220413-WA0000.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,١١,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١١ رمضان ١٤٤٣هـ,12/04/2022,32:25,Fiqh
AUD-20220414-WA0019.m4a,Series,تنبيه الأنام على ما في كتاب سبل السلام من الفوائد والأحكام,١٢,محمد بن صالح العثيمين,جامع الورود,حسن بن محمد منصور الدغريري,١٢ رمضان ١٤٤٣هـ,13/04/2022,30:46,Fiqh
شرح الفقه الميسر (كتاب الصيام) 46.m4a,Series,شرح كتاب الفقه الميسر,١,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,33:40,Fiqh
شرح الفقه الميسر (كتاب الصيام) 47.m4a,Series,شرح كتاب الفقه الميسر,٢,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,42:15,Fiqh
شرح الفقه الميسر (كتاب الصيام) 48.m4a,Series,شرح كتاب الفقه الميسر,٣,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,24:44,Fiqh
شرح الفقه الميسر (كتاب الصيام) 49.m4a,Series,شرح كتاب الفقه الميسر,٤,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,14:42,Fiqh
شرح الفقه الميسر (كتاب الصيام) 50.m4a,Series,شرح كتاب الفقه الميسر,٥,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,17:41,Fiqh
شرح الفقه الميسر (كتاب الصيام) 51.m4a,Series,شرح كتاب الفقه الميسر,٦,مجموعة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,28:15,Fiqh
كتاب_الصيام_آداب_المشي_على_الصلاة_01.m4a,Series,كتاب آداب المشي إلى الصلاة,٠١,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,28:37,Fiqh
كتاب__#الصيام_من_آداب_المشي_إلى_الصلاة.mp3,Series,كتاب آداب المشي إلى الصلاة,٠٢,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,32:05,Fiqh
كتاب_الصيام_آداب_المشي_إلى_الصلاة_03.mp3,Series,كتاب آداب المشي إلى الصلاة,٠٣,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,41:18,Fiqh
كتاب_الصيام_آداب_المشي_إلى_الصلاة_04.mp3,Series,كتاب آداب المشي إلى الصلاة,٠٤,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,19:43,Fiqh
كتاب_الصيام_كتاب_آداب_المشي_إلى_الصلاة_05.m4a,Series,كتاب آداب المشي إلى الصلاة,٠٥,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,24:10,Fiqh
كتاب_الصيام_كتاب_آداب_المشي_إلى_الصلاة_06.m4a,Series,كتاب آداب المشي إلى الصلاة,٠٦,عبد العزيز بن باز,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,N/A,28:21,Fiqh
