TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,doubtsStatus
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,29:10,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,33:18,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Mp3 Editor_251026012445.mp3,Series,Not Available,شرح السنة,Not Available,الخامس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,1:08,Aqeedah,none
Mp3 Editor_251026014231.mp3,Series,Not Available,Not Available,Not Available,الأول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,48:16,Other,Series name not clearly identified
Mp3 Editor_251026014901.mp3,Series,Not Available,التفسير الميسر,"سورة عبس ""٢""",السابع,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,05:47,Other,none
Mp3 Editor_251026020733.mp3,Series,Not Available,شرح السنة,Not Available,الأول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٣ / ١٤٤٧,26.10.2025,51:42,Aqeedah,none
Mp3 Editor_251026021742.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثاني عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٤ / ١٤٤٧,26.10.2025,11:02,Fiqh,none
Mp3 Editor_251026022439.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثالث عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:45,Aqeedah,Arabic date not found
AUD-20251026-WA0007.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,الثامن عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:33,Fiqh,Arabic date not found
AUD-20251021-WA0054.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الثامن,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,38:24,Aqeedah,Arabic date not found
Mp3 Editor_251026023758.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثالث عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٣٠ / ٤ / ١٤٤٧,26.10.2025,10:56,Fiqh,none
AUD-20251022-WA0024.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح: باب الصداق .,السابع,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,20:30,Hadeeth,Arabic date not found
AUD-20251026-WA0003.m4a,Khutba,وقفات مع السيرة النبوية(٣),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٥/ ٢ / ١٤٤٧,26.10.2025,10:45,Other,none
AUD-20251021-WA0026.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,التاسع عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,17:12,Fiqh,Arabic date not found
AUD-20251021-WA0036.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,العشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,18:56,Fiqh,Arabic date not found
Mp3 Editor_251026070944.mp3,Series,Not Available,التفسير الميسر,"سورة التكوير ""١""",الثامن,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٣ / ٥ / ١٤٤٧,26.10.2025,09:55,Other,none
Mp3 Editor_251026073039.mp3,Series,Not Available,Not Available,Not Available,الثاني,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٣ / ٥ / ١٤٤٧,26.10.2025,1:08,Other,Series name not clearly identified
Mp3 Editor_251026073911.mp3,Series,Not Available,شرح السنة,Not Available,السادس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٣ / ٥ / ١٤٤٧,26.10.2025,1:03,Aqeedah,none
AUD-20251028-WA0003.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,التاسع,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,20:27,Aqeedah,Arabic date not found
AUD-20251029-WA0000.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,الواحد والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,25:02,Fiqh,Arabic date not found
AUD-20251029-WA0002.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الرابع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٤ / ٥ / ١٤٤٧,29.10.2025,16:22,Aqeedah,none
AUD-20251029-WA0004.m4a,Series,Not Available,الملخص الفقهي,Not Available,الرابع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٥ / ٥ / ١٤٤٧,29.10.2025,05:56,Fiqh,none
Not Available,Series,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,Not Available,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Ringtone_AUD-20251029-WA0006.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الخامس عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٦ / ٥ / ١٤٤٧,29.10.2025,07:22,Aqeedah,none
AUD-20251104-WA0000.m4a,Series,Not Available,الملخص الفقهي,Not Available,الخامس عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٧ / ٥ / ١٤٤٧,04.11.2025,15:18,Fiqh,none
Not Available,Series,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,18.11.2025,Not Available,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Mp3 Editor_251127124005.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,السادس عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١١ / ٥ / ١٤٤٧,27.11.2025,09:15,Aqeedah,none
Mp3 Editor_251127124529.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,السادس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١١ / ٥ / ١٤٤٧,27.11.2025,42:40,Hadeeth,none
AUD-20251127-WA0003.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,الثاني والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,12:14,Fiqh,Arabic date not found
Mp3 Editor_251127133423.mp3,Series,Not Available,الملخص الفقهي,Not Available,السادس عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٢ / ٥ / ١٤٤٧,27.11.2025,12:43,Fiqh,none
Mp3 Editor_251127133948.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,السابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٢ / ٥ / ١٤٤٧,27.11.2025,43:57,Hadeeth,none
Not Available,Khutba,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,28.11.2025,Not Available,Fiqh,Topic not clearly identified; Arabic date not found
AUDIO-2025-11-28-23-15-18.m4a,Khutba,السيرة النبوية (٦),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٧ / ٦ / ١٤٤٧هـ,28.11.2025,12:16,Other,none
AUD-20251129-WA0010.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,الثالث والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,26:07,Fiqh,Arabic date not found
Mp3 Editor_251129224717.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,الثامن,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٨ / ٥ / ١٤٤٧,30.11.2025,55:43,Hadeeth,none
Mp3 Editor_251129225126.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,السابع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٨ / ٥ / ١٤٤٧,30.11.2025,10:17,Aqeedah,none
Mp3 Editor_251129225724.mp3,Series,Not Available,شرح السنة,Not Available,السابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٥ / ١٤٤٧,30.11.2025,58:20,Aqeedah,none
AUD-20251129-WA0017.m4a,Series,Not Available,Not Available,Not Available,الأول,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٥ / ١٤٤٧,30.11.2025,42:51,Other,Series name not clearly identified; Original author not found
Mp3 Editor_251129231102.mp3,Series,Not Available,التفسير الميسر,"سورة التكوير ""٢""",التاسع,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,06:05,Other,Arabic date not found
AUD-20251130-WA0012.m4a,Series,Not Available,التفسير الميسر,"سورة المطففين ""١""",الحادي عشر,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,05:35,Other,Arabic date not found
Mp3 Editor_251201223831.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثامن عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٠ / ٥ / ١٤٤٧,02.12.2025,10:46,Aqeedah,none
Mp3 Editor_251201224432.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثامن عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٥ / ١٤٤٧,02.12.2025,11:25,Fiqh,none
AUD-20251201-WA0005.mp3,Series,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٥ / ١٤٤٧هـ,02.12.2025,08:17,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
Mp3 Editor_251202153513.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,التاسع ونهاية الجزء الأول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٥ / ٥ / ١٤٤٧,02.12.2025,55:49,Hadeeth,none
AUD-20251202-WA0001.m4a,Series,Not Available,Not Available,Not Available,الثاني,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٤ / ٥ / ١٤٤٧,02.12.2025,34:17,Other,Series name not clearly identified; Original author not found
AUD-20251202-WA0002.m4a,Series,Not Available,Not Available,Not Available,الثالث,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٨ / ٦ / ١٤٤٧,02.12.2025,59:22,Other,Series name not clearly identified; Original author not found
Mp3 Editor_251202160312.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,التاسع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٥ / ٥ / ١٤٤٧,02.12.2025,06:58,Aqeedah,none
Mp3 Editor_251202160725.mp3,Series,Not Available,شرح السنة,Not Available,الثامن,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٤ / ٥ / ١٤٤٧,02.12.2025,52:58,Aqeedah,none
Mp3 Editor_251202161629.mp3,Series,Not Available,Not Available,Not Available,الرابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٤ / ٥ / ١٤٤٧,02.12.2025,1:03,Other,Series name not clearly identified
AUD-20251202-WA0007.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,السادس والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,24:15,Fiqh,Arabic date not found
Mp3 Editor_251202163202.mp3,Series,Not Available,التفسير الميسر,سورة الانفطار,العاشر,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,05:47,Other,Arabic date not found
Ringtone_AUD-20251207-WA0004.mp3,Khutba,أهمية النزاهة والأمانة، ومكافحة الفساد المالي,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,1447/6/14هـ,08.12.2025,10:07,Other,none
AUD-20251208-WA0001.m4a,Series,Not Available,Not Available,Not Available,الرابع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٦ / ١٤٤٧,08.12.2025,32:50,Other,Series name not clearly identified; Original author not found
AUD-20251208-WA0004.m4a,Series,Not Available,Not Available,Not Available,الخامس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٨ / ٦ / ١٤٤٧,08.12.2025,34:44,Other,Series name not clearly identified
AUD-20251208-WA0005.m4a,Series,Not Available,Not Available,Not Available,السادس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٦ / ١٤٤٧,08.12.2025,56:16,Other,Series name not clearly identified
AUD-20251208-WA0006.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,العشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٥ / ٥ / ١٤٤٧,08.12.2025,08:14,Aqeedah,none
AUD-20251204-WA0005.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,السابع والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,16:12,Fiqh,Arabic date not found
Mp3 Editor_251208205847.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصلاة بجامع الورود,الثاني من كتاب الصلاة,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٩ / ٦ / ١٤٤٧,08.12.2025,42:51,Hadeeth,none
Mp3 Editor_251208210432.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصلاة بجامع الورود,الثالث من كتاب الصلاة,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٠ / ٦ / ١٤٤٧,08.12.2025,33:27,Hadeeth,none
Mp3 Editor_251208211500 (1).mp3,Series,Not Available,الملخص الفقهي,Not Available,العشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٥ / ١٤٤٧,08.12.2025,12:09,Fiqh,none
Mp3 Editor_251208214714.mp3,Series,Not Available,شرح السنة,Not Available,التاسع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٨ / ٦ / ١٤٤٧,08.12.2025,43:47,Aqeedah,none
AUD-20251208-WA0009.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الواحد والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١١ / ٦ / ١٤٤٧,09.12.2025,11:28,Aqeedah,none
AUD-20251208-WA0010.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثاني والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,13:54,Aqeedah,Arabic date not found
AUD-20251208-WA0008.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الثالث عشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,28:36,Aqeedah,Arabic date not found
Mp3 Editor_251208225109.mp3,Series,Not Available,الملخص الفقهي,Not Available,الواحد والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٠ / ٦ / ١٤٤٧,09.12.2025,12:00,Fiqh,none
Mp3 Editor_251208230041.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثاني والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١١ / ٦ / ١٤٤٧,09.12.2025,22:07,Fiqh,none
AUD-20251208-WA0011.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الطلاق: باب العدة .,الثامن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,25:14,Hadeeth,Arabic date not found
AUD-20251209-WA0004.m4a,Series,Not Available,التفسير الميسر,"سورة المطففين ""٢""",الثاني عشر,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,04:48,Other,Arabic date not found
AUD-20251111-WA0001.m4a,Series,Not Available,Not Available,Not Available,الثالث,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٥ / ١٤٤٧,09.12.2025,41:24,Other,Series name not clearly identified
AUD-20251209-WA0005.m4a,Series,Not Available,شرح السنة,Not Available,العاشر,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٦ / ١٤٤٧,09.12.2025,46:25,Aqeedah,none
AUD-20251211-WA0003.m4a,Series,Not Available,الملخص الفقهي,Not Available,السابع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٤ / ٥ / ١٤٤٧,11.12.2025,12:52,Fiqh,none
AUD-20251211-WA0007.m4a,Series,Not Available,الملخص الفقهي,Not Available,التاسع عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٥ / ١٤٤٧,11.12.2025,13:20,Fiqh,none
Ringtone_AUD-20251211-WA0008.mp3,Series,Not Available,الملخص الفقهي,كتاب الصلاة ( ١ ),الثالث والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٦ / ١٤٤٧,11.12.2025,09:07,Fiqh,none
AUD-20251212-WA0000.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الخامس والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,12.12.2025,17:02,Aqeedah,Arabic date not found
AUD-20251213-WA0001.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصلاة بجامع الورود,الأول من اول كتاب الصلاة,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٥ / ١٤٤٧,13.12.2025,45:03,Hadeeth,none
AUD-20250901-WA0001.m4a,Series,Not Available,الأفنان الندية,باب الربا,الثامن,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,27:52,Fiqh,Arabic date not found
AUD-20251213-WA0002.m4a,Series,Not Available,الأفنان الندية,باب الربا,التاسع,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,31:29,Fiqh,Arabic date not found
AUD-20251213-WA0003.m4a,Series,Not Available,الأفنان الندية,باب الربا,الرابع والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,14:21,Fiqh,Arabic date not found
AUD-20251213-WA0005.m4a,Series,Not Available,الأفنان الندية,باب الربا,الخامس والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,10:30,Fiqh,Arabic date not found
AUD-20251213-WA0006.m4a,Series,Not Available,الأفنان الندية,باب الربا,الثامن والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,16:12,Fiqh,Arabic date not found
AUD-20251213-WA0004.m4a,Series,Not Available,الأفنان الندية,باب الهبة والعمرى والركبة,التاسع والعشرون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,41:02,Fiqh,Arabic date not found
AUD-20251213-WA0007.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الثاني,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,12:50,Aqeedah,Arabic date not found
AUD-20250903-WA0000.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الثالث,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,11:08,Aqeedah,Arabic date not found
AUD-20251213-WA0008.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الخامس,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,16:16,Aqeedah,Arabic date not found
AUD-20251213-WA0009.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,العاشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,18:14,Aqeedah,Arabic date not found
AUD-20251213-WA0010.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الرابع عشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,26:10,Aqeedah,Arabic date not found
AUD-20251213-WA0011.m4a,Khutba,وقفات مع السيرة النبوية (٤),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ١٦ / ٥ / ١٤٤٧,13.12.2025,10:39,Other,none
AUD-20251213-WA0012.mp3,Khutba,وقفات مع السيرة النبوية (٥),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٢٣ / ٥ / ١٤٤٧,13.12.2025,09:49,Other,none
AUD-20251213-WA0013.m4a,Khutba,(( عناية الإسلام بالمرأة )),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٢١ / ٦ / ١٤٤٧,13.12.2025,10:17,Other,none
AUD-20251215-WA0000.m4a,Series,Not Available,التفسير الميسر,سورة الانشقاق,الثالث عشر,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,15.12.2025,09:04,Other,Arabic date not found
AUD-20251215-WA0002.m4a,Series,Not Available,Not Available,Not Available,السابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٦ / ١٤٤٧,15.12.2025,39:52,Other,Series name not clearly identified
AUD-20251215-WA0003.m4a,Series,Not Available,Not Available,Not Available,الخامس,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٦ / ١٤٤٧,15.12.2025,48:06,Other,Series name not clearly identified; Original author not found
AUD-20251215-WA0004.m4a,Series,Not Available,شرح السنة,Not Available,الحادي عشر,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٦ / ١٤٤٧,18.12.2025,48:15,Aqeedah,none
AUD-20251217-WA0001.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,السادس والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,14:17,Aqeedah,Arabic date not found
AUD-20251217-WA0002.m4a,Series,Not Available,الملخص الفقهي,كتاب الصلاة ( ٢ ),الرابع والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٩ / ٦ / ١٤٤٧,18.12.2025,16:01,Fiqh,none
AUD-20251217-WA0003.m4a,Series,Not Available,الملخص الفقهي,كتاب الصلاة ( ٣ ),الخامس والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٤ / ٦ / ١٤٤٧,18.12.2025,16:37,Fiqh,none
AUD-20251217-WA0005.m4a,Series,Not Available,الأفنان الندية,باب الأرض الموات,الثلاثون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,11:39,Fiqh,Arabic date not found
AUD-20251217-WA0004.m4a,Series,Not Available,الأفنان الندية,باب الأرض الموات,الواحد والثلاثون,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,19:41,Fiqh,Arabic date not found
AUD-20251208-WA0007.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصلاة بجامع الورود,الرابع من كتاب الصلاة,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٦ / ١٤٤٧,18.12.2025,44:32,Hadeeth,none
