SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
87,Unknown,جامع الورود,Thursday,2025-12-11,AUD-20251211-WA0007.m4a,Unknown,Not Available,Not Available,التاسع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,11.12.2025,13:20,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
88,Unknown,جامع الورود,Saturday,2025-12-13,AUD-20251213-WA0011.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١٦ / ٥ / ١٤٤٧,13.12.2025,10:39,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
89,Unknown,جامع الورود,Saturday,2025-12-13,AUD-20251213-WA0012.mp3,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٣ / ٥ / ١٤٤٧,13.12.2025,09:49,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
90,Unknown,جامع الورود,Saturday,2025-12-13,AUD-20251213-WA0013.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢١ / ٦ / ١٤٤٧,13.12.2025,10:17,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
91,Unknown,جامع الورود,Monday,2025-12-15,AUD-20251215-WA0000.m4a,Unknown,Not Available,Not Available,الثالث عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.12.2025,09:04,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
92,Unknown,جامع الورود,Monday,2025-12-15,AUD-20251215-WA0002.m4a,Unknown,Not Available,Not Available,السابع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.12.2025,39:52,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
93,Unknown,جامع الورود,Monday,2025-12-15,AUD-20251215-WA0003.m4a,Unknown,Not Available,Not Available,الخامس بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.12.2025,48:06,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
94,Unknown,جامع الورود,Thursday,2025-12-18,AUD-20251215-WA0004.m4a,Unknown,Not Available,Not Available,الحادي عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,48:15,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
95,Unknown,جامع الورود,Thursday,2025-12-18,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
96,Unknown,جامع الورود,Thursday,2025-12-18,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٦ / ٦ / ١٤٤٧,18.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
97,Unknown,جامع الورود,Friday,2025-12-19,AUDIO-2025-12-19-17-36-02.m4a,Khutba,وقفات مع السيرة النبوية (٧),Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٨ / ٦ / ١٤٤٧,19.12.2025,10:27,Other,Khutba Detection,none
98,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Unknown,Not Available,سبل السلام من الفوائد والأحكام,الاول من,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,47:59,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
99,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Unknown,Not Available,Not Available,الاول بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,52:42,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
100,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Unknown,Not Available,Not Available,الاول بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,43:13,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
101,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Unknown,Not Available,Not Available,الرابع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,22:17,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
102,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Unknown,Not Available,Not Available,الثامن بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,33:42,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
103,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Unknown,Not Available,Not Available,السادس بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,35:22,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
104,Unknown,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Unknown,Not Available,Not Available,الثاني عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,48:06,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
105,Unknown,جامع الورود,Wednesday,2025-12-24,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,24.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
106,Unknown,جامع الورود,Wednesday,2025-12-24,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,24.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
107,Unknown,جامع الورود,Thursday,2025-12-25,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,25.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
108,Unknown,جامع الورود,Friday,2025-12-26,AUDIO-2025-12-26-14-10-13.m4a,Khutba,بدع شهر رجب,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٦ / ٧ / ١٤٤٧,26.12.2025,09:40,Other,Khutba Detection,none
109,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-10-21-24.m4a,Unknown,Not Available,Not Available,الثاني بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,43:18,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
110,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-10-21-24.m4a,Unknown,Not Available,Not Available,الثاني بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,37:48,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
111,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-10-25-24.m4a,Unknown,Not Available,سبل السلام من الفوائد والأحكام,الثاني من,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,1:11,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
112,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-19-31-11.m4a,Unknown,Not Available,Not Available,الخامس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,06:31,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
113,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-19-33-23.m4a,Unknown,Not Available,التعليقات البهية على الرسائل العقدية) بجامع الورود,التاسع (آخر,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,1:04,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
114,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-27-19-36-27.m4a,Unknown,Not Available,Not Available,السابع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,26:55,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
115,Unknown,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-28-07-37-23.m4a,Unknown,Not Available,Not Available,الثالث عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,45:08,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
116,Unknown,جامع الورود,Sunday,2025-12-28,Not Available,Unknown,Not Available,Not Available,الافنان,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
117,Unknown,جامع الورود,Friday,2026-01-02,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
118,Unknown,جامع الورود,Friday,2026-01-02,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
119,Unknown,جامع الورود,Friday,2026-01-02,AUD-20260102-WA0003.mp3,Khutba,وقفات مع السيرة النبوية (٨),Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١٢ / ٧ / ١٤٤٧,02.01.2026,12:27,Other,Khutba Detection,none
120,Unknown,جامع الورود,Saturday,2026-01-03,AUD-20260103-WA0003.opus,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,03.01.2026,34:23,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
121,Unknown,جامع الورود,Thursday,2026-01-08,AUDIO-2026-01-07-19-05-05.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١٨ / ٧ / ١٤٤٧,08.01.2026,48:20,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
122,Unknown,جامع الورود,Sunday,2026-01-11,Not Available,Unknown,Not Available,الله ، وسنة نبيه صلى الله عليه وسلم ؛ وما كان عليه سلفنا الصالحين ؛ أوردت بعضها دلالةً على غيرها ؛ و,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,11.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
123,Unknown,جامع الورود,Sunday,2026-01-11,Not Available,Unknown,Not Available,الله، وسنة رسول الله صلى الله عليه وسلم على فهم السلف الصالح، وأن يأخذ بأقوال العلماء السلفيين الراس,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٢ / ٧ / ١٤٤٧,11.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
124,Unknown,جامع الورود,Tuesday,2026-01-13,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
125,Unknown,جامع الورود,Wednesday,2026-01-14,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
126,Unknown,جامع الورود,Wednesday,2026-01-14,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
127,Unknown,جامع الورود,Friday,2026-01-16,AUDIO-2026-01-16-14-51-11.m4a,Khutba,وقفات مع السيرة النبوية (٩),Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٧ / ٧ / ١٤٤٧,16.01.2026,12:27,Other,Khutba Detection,none
128,Unknown,جامع الورود,Saturday,2026-01-17,Not Available,Unknown,Not Available,ونحوها ، وقد قال الله تعالى : ( وَأَنَّ الْمَسَاجِدَ لِلَّهِ فَلَا تَدْعُوا مَعَ اللَّهِ أَحَدًا ) (,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
129,Unknown,جامع الورود,Saturday,2026-01-17,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
130,Unknown,جامع الورود,Sunday,2026-01-18,ÇáÔíÎ ÍÓä Èä ãÍãÏ ãäÕæÑ ÏÛÑíÑí – ÝÖá ÇáÚáã æãäÒáÉ Ãåáå,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.01.2026,32:54,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
131,Unknown,جامع الورود,Sunday,2026-01-18,Not Available,Unknown,Not Available,Not Available,الافنان,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
132,Unknown,جامع الورود,Sunday,2026-01-18,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.01.2026,Not Available,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
1,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Tuesday,2025-10-07,4_5992475423785622177 (1).mp3,Series,Not Available,النكاح (١),الثاني والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,13:34,Hadeeth,Keyword Match (Tuesday),matched by keywords
2,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-09,4_5996911497937164392.mp3,Series,Not Available,النكاح (٢),الثالث والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,17:24,Hadeeth,Keyword Match (Thursday),matched by keywords
3,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Friday,2025-10-10,Mp3 Editor_251010210205.mp3,Series,Not Available,النكاح (٣),الرابع والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,24:59,Hadeeth,Keyword Match (Friday),matched by keywords
4,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-10-13,Mp3 Editor_251013152911.mp3,Series,Not Available,الطهارة,الأول  من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,13.10.2025,46:46,Hadeeth,Schedule (Monday),none
5,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015221637.mp3,Series,Not Available,النكاح (٤),الخامس والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,19:26,Hadeeth,Keyword Match (Thursday),matched by keywords
6,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Friday,2025-10-17,AUD-20251012-WA0033.m4a,Series,Not Available,النكاح (٥),السادس والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:15,Hadeeth,Keyword Match (Friday),matched by keywords
7,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Friday,2025-10-17,AUD-20251015-WA0055.m4a,Series,Not Available,النكاح (٦),السابع والتسعون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,22:15,Hadeeth,Keyword Match (Friday),matched by keywords
8,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-02)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
9,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-03)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
10,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-04)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
11,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-05)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
12,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-06)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
13,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-07)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
14,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
15,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الطهارة,الأول (-01)-.,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
16,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(10)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,20 شوال 1437,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
17,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الطهارة : من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام.,Not Available,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,05 ذوالقعدة 1437,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
18,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(012)-
✏️",أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
19,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الطهارة,الأول (-01)-.,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
20,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-10-23,Not Available,Series,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Not Available,Hadeeth,Keyword Match (Thursday),matched by keywords
21,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Sunday,2025-11-30,Mp3 Editor_251129224717.mp3,Series,Not Available,Not Available,الثامن  بجامع,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,55:43,Hadeeth,Schedule (Sunday),none
22,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-12-08,Mp3 Editor_251208205847.mp3,Series,Not Available,الصلاة بجامع الورود,الثاني من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,42:51,Hadeeth,Schedule (Monday),none
23,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-12-08,Mp3 Editor_251208210432.mp3,Series,Not Available,الصلاة بجامع الورود,الثالث من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,33:27,Hadeeth,Schedule (Monday),none
24,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-12-11,Ringtone_AUD-20251211-WA0008.mp3,Series,Not Available,الصلاة ( ١ ),الثالث والعشرون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,11.12.2025,09:07,Hadeeth,Keyword Match (Thursday),matched by keywords
25,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Saturday,2025-12-13,AUD-20251213-WA0001.m4a,Series,Not Available,الصلاة بجامع الورود,الأول من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,45:03,Hadeeth,Keyword Match (Saturday),matched by keywords
26,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-12-18,AUD-20251217-WA0002.m4a,Series,Not Available,الصلاة ( ٢ ),الرابع والعشرون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,16:01,Hadeeth,Keyword Match (Thursday),matched by keywords
27,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-12-18,AUD-20251217-WA0003.m4a,Series,Not Available,الصلاة ( ٣ ),الخامس والعشرون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,16:37,Hadeeth,Keyword Match (Thursday),matched by keywords
28,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-12-18,AUD-20251208-WA0007.m4a,Series,Not Available,الصلاة بجامع الورود,الرابع من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,44:32,Hadeeth,Keyword Match (Thursday),matched by keywords
29,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2025-12-18,AUD-20251218-WA0000.m4a,Series,Not Available,الصلاة بجامع الورود,الخامس من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,52:52,Hadeeth,Keyword Match (Thursday),matched by keywords
30,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,الصلاة بجامع الورود,السابع من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,42:29,Hadeeth,Schedule (Monday),none
31,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-17-23-19.m4a,Series,Not Available,الصلاة بجامع الورود,السادس من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,50:34,Hadeeth,Schedule (Monday),none
32,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-17-31-28.m4a,Series,Not Available,الصلاة بجامع الورود,الثامن من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,29:39,Hadeeth,Schedule (Monday),none
33,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-28-19-49-38.m4a,Series,Not Available,الصلاة بجامع الورود,التاسع من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,54:29,Hadeeth,Schedule (Sunday),none
34,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Tuesday,2025-12-30,AUDIO-2025-12-29-20-19-23.m4a,Series,Not Available,الصلاة (٦ ),السابع والعشرون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,30.12.2025,10:29,Hadeeth,Keyword Match (Tuesday),matched by keywords
35,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Tuesday,2025-12-30,AUDIO-2025-12-29-20-23-21.m4a,Series,Not Available,الصلاة بجامع الورود,العاشر من,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,30.12.2025,53:49,Hadeeth,Keyword Match (Tuesday),matched by keywords
36,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2026-01-01,AUDIO-2025-12-31-17-11-22.m4a,Series,Not Available,الصلاة (٧ ),الثامن والعشرون,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,01.01.2026,19:26,Hadeeth,Keyword Match (Thursday),matched by keywords
37,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,2026-01-15,كلمة_لابن_عقيل_عن_النجمي_رحمه_الله.mp3,Series,Not Available,Not Available,Not Available,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,15.01.2026,01:32,Hadeeth,Keyword Match (Thursday),matched by keywords
38,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2026-01-19,AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,الصلاة بجامع الورود,الحادي عشر,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,32:54,Hadeeth,Schedule (Monday),none
39,تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,2026-01-19,AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,الصلاة بجامع الورود,الثاني عشر,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,29:30,Hadeeth,Schedule (Monday),none
